##FastQC	0.11.3
>>Basic Statistics	pass
#Measure	Value
Filename	XCV_03_R2.cl.pd.fq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	1488139
Sequences flagged as poor quality	0
Sequence length	35-150
%GC	40
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.820897107057874	32.0	32.0	32.0	32.0	32.0
2	31.380501418214294	32.0	32.0	32.0	32.0	32.0
3	35.052293502152686	37.0	32.0	37.0	32.0	37.0
4	35.775342222735915	37.0	37.0	37.0	32.0	37.0
5	36.34147146200725	37.0	37.0	37.0	37.0	37.0
6	39.575798362921745	41.0	41.0	41.0	37.0	41.0
7	39.72111207353614	41.0	41.0	41.0	37.0	41.0
8	39.729891495350905	41.0	41.0	41.0	37.0	41.0
9	39.77734942770803	41.0	41.0	41.0	37.0	41.0
10-14	39.77776699622817	41.0	41.0	41.0	37.0	41.0
15-19	39.666274991785045	41.0	41.0	41.0	37.0	41.0
20-24	39.55198311448057	41.0	41.0	41.0	37.0	41.0
25-29	39.50671986958207	41.0	41.0	41.0	37.0	41.0
30-34	39.43548485726132	41.0	41.0	41.0	37.0	41.0
35-39	39.3369495384162	41.0	41.0	41.0	37.0	41.0
40-44	39.25858221405381	41.0	41.0	41.0	37.0	41.0
45-49	39.21826129303621	41.0	41.0	41.0	37.0	41.0
50-54	39.145484294012874	41.0	41.0	41.0	37.0	41.0
55-59	39.07986599897689	41.0	41.0	41.0	37.0	41.0
60-64	38.97540565141118	41.0	41.0	41.0	37.0	41.0
65-69	38.95237952763226	41.0	41.0	41.0	37.0	41.0
70-74	38.88650842057794	41.0	41.0	41.0	34.0	41.0
75-79	38.61538223119361	41.0	39.4	41.0	33.0	41.0
80-84	39.07406596379777	41.0	41.0	41.0	37.0	41.0
85-89	39.00653570807434	41.0	41.0	41.0	37.0	41.0
90-94	38.89113696619487	41.0	41.0	41.0	34.0	41.0
95-99	38.81814530305961	41.0	41.0	41.0	32.0	41.0
100-104	38.80926171077606	41.0	41.0	41.0	32.0	41.0
105-109	38.65785126376914	41.0	40.2	41.0	32.0	41.0
110-114	38.57558470301936	41.0	37.0	41.0	32.0	41.0
115-119	38.45566612206774	41.0	37.0	41.0	32.0	41.0
120-124	38.29090599166154	41.0	37.0	41.0	32.0	41.0
125-129	38.07338963802478	41.0	37.0	41.0	32.0	41.0
130-134	37.798831239500416	41.0	37.0	41.0	32.0	41.0
135-139	37.62511409437597	41.0	37.0	41.0	32.0	41.0
140-144	37.33755008271235	41.0	37.0	41.0	27.0	41.0
145-149	37.09947312129308	41.0	37.0	41.0	27.0	41.0
150	38.005615268968796	41.0	37.0	41.0	32.0	41.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
1101	1	0.022394203161084647
1101	2	-0.06420393840285143
1101	3	-0.07842935956119845
1101	4	0.03763483148401292
1101	5	-0.25742328959758254
1101	6	-0.3081451898389673
1101	7	-0.2910488578088888
1101	8	-0.7124255056765563
1101	9	-0.666949990482955
1101	10-14	-0.5211335791742258
1101	15-19	-0.8750545627330979
1101	20-24	-1.1195773964569113
1101	25-29	-1.2459190946507874
1101	30-34	-1.367888982377437
1101	35-39	-0.9649543523662416
1101	40-44	-1.207973781577742
1101	45-49	-1.0023368298754889
1101	50-54	-1.4751432963795352
1101	55-59	-1.430065275525756
1101	60-64	-1.4282149118455933
1101	65-69	-1.1601568391549861
1101	70-74	-0.7465245028489491
1101	75-79	-1.0156605658207525
1101	80-84	-0.6470591843251441
1101	85-89	-0.5729548722207198
1101	90-94	-0.3219593228300326
1101	95-99	-0.5165474664514207
1101	100-104	-0.35167771336187315
1101	105-109	-0.34903295906598686
1101	110-114	-0.36039087649552215
1101	115-119	-0.4262138414064367
1101	120-124	-0.5512339788370895
1101	125-129	-0.7786112631199913
1101	130-134	-0.8165461062067365
1101	135-139	-0.2692362244833504
1101	140-144	-0.5992390449866747
1101	145-149	-0.8588481088476314
1101	150	-0.5784704182816753
1102	1	0.009443442859502937
1102	2	-0.0033022061475307396
1102	3	0.0526397660331952
1102	4	0.12828309852318398
1102	5	-0.11256385014656445
1102	6	-0.10213944230706318
1102	7	-0.007260942676701632
1102	8	0.030173959078659607
1102	9	0.08576456601170435
1102	10-14	-0.04679268750721377
1102	15-19	-0.11614979209348775
1102	20-24	-0.06172091543270852
1102	25-29	-0.2538785326907913
1102	30-34	-0.1467195336607503
1102	35-39	-0.15903934822430443
1102	40-44	-0.21932631290199822
1102	45-49	-0.24889050821639813
1102	50-54	-0.5647208132467796
1102	55-59	-0.5153031771439345
1102	60-64	-0.4496218256822928
1102	65-69	-0.46075700407129005
1102	70-74	-0.6571663917903123
1102	75-79	-0.13240680097399604
1102	80-84	-0.12553524101619473
1102	85-89	0.09649048266542337
1102	90-94	0.08092759709909814
1102	95-99	-0.06543371051328961
1102	100-104	-0.09581575457085023
1102	105-109	3.6906918160894975E-4
1102	110-114	-0.1062507057435127
1102	115-119	-0.05039567696680791
1102	120-124	0.028141389648361326
1102	125-129	-0.05896139710542059
1102	130-134	-0.0071312673485905975
1102	135-139	0.15974257238222833
1102	140-144	-0.21785066771373351
1102	145-149	-0.327127725052911
1102	150	-0.2599024314690439
1103	1	0.036644039112118776
1103	2	-0.11692856746335778
1103	3	-0.05653413374012217
1103	4	-0.12567296214002965
1103	5	-0.16183585267972234
1103	6	-0.16786326166172216
1103	7	-0.06834825779095155
1103	8	0.13311212644777015
1103	9	-0.052084557842171364
1103	10-14	-0.16978762233208755
1103	15-19	-0.1820683994961172
