"","x"
"1","MA_10426407g0030"
"2","MA_75192g0010"
"3","MA_10425837g0010"
"4","MA_824288g0010"
"5","MA_133272g0010"
"6","MA_71201g0010"
"7","MA_77198g0010"
"8","MA_46682g0010"
"9","MA_552873g0010"
"10","MA_94328g0020"
"11","MA_10425909g0010"
"12","MA_18818g0010"
"13","MA_39636g0010"
"14","MA_444738g0020"
"15","MA_10430428g0010"
"16","MA_10428408g0010"
"17","MA_86565g0010"
"18","MA_222556g0010"
"19","MA_500183g0010"
"20","MA_5320g0010"
"21","MA_10265757g0010"
"22","MA_113838g0010"
"23","MA_135205g0010"
"24","MA_7017g0010"
"25","MA_262554g0010"
"26","MA_74555g0010"
"27","MA_10426237g0010"
"28","MA_159785g0010"
"29","MA_5694926g0010"
"30","MA_67604g0010"
"31","MA_91983g0010"
"32","MA_10429149g0010"
"33","MA_10436090g0010"
"34","MA_29137g0010"
"35","MA_7179g0010"
"36","MA_10435300g0010"
"37","MA_9554510g0010"
"38","MA_10436516g0020"
"39","MA_10257300g0010"
"40","MA_18653g0010"
"41","MA_11774g0010"
"42","MA_93486g0010"
"43","MA_10320441g0010"
"44","MA_131523g0020"
"45","MA_10430223g0010"
"46","MA_27625g0020"
"47","MA_8779645g0010"
"48","MA_2603g0010"
"49","MA_6078786g0010"
"50","MA_958384g0010"
"51","MA_6634g0010"
"52","MA_56411g0010"
"53","MA_10432805g0020"
"54","MA_9957791g0010"
"55","MA_110656g0010"
"56","MA_10428014g0010"
"57","MA_126621g0010"
"58","MA_184192g0010"
"59","MA_73034g0010"
"60","MA_68129g0010"
"61","MA_108477g0010"
"62","MA_10430592g0010"
"63","MA_89683g0010"
"64","MA_74667g0010"
"65","MA_289531g0010"
"66","MA_17547g0010"
"67","MA_1400g0010"
"68","MA_48578g0020"
"69","MA_783123g0010"
"70","MA_262267g0010"
"71","MA_839216g0010"
"72","MA_75919g0010"
"73","MA_96942g0010"
"74","MA_108425g0010"
"75","MA_54322g0010"
"76","MA_769805g0010"
"77","MA_178762g0010"
"78","MA_10431705g0010"
"79","MA_8981519g0010"
"80","MA_18615g0020"
"81","MA_10432302g0010"
"82","MA_189329g0010"
"83","MA_10435431g0020"
